wandb_id,condition,cohort,budget,delay,seed,step,reward_mean,reward_smooth
jp5jehho,delayed_mlp,primary,1000000000,0,46,162201600,969.613525390625,972.9367388556985
jp5jehho,delayed_mlp,primary,1000000000,0,46,162693120,970.9069213867188,972.8119865866269
jp5jehho,delayed_mlp,primary,1000000000,0,46,163430400,973.16455078125,972.8197129193475
jp5jehho,delayed_mlp,primary,1000000000,0,46,163921920,973.2576904296876,972.8148157456342
jp5jehho,delayed_mlp,primary,1000000000,0,46,164413440,973.3789672851562,972.818696863511
jp5jehho,delayed_mlp,primary,1000000000,0,46,165150720,972.80322265625,972.7757496553309
jp5jehho,delayed_mlp,primary,1000000000,0,46,165642240,971.5831298828124,972.6642097024356
jp5jehho,delayed_mlp,primary,1000000000,0,46,166379520,973.180908203125,972.6686329561121
jp5jehho,delayed_mlp,primary,1000000000,0,46,166871040,971.3804321289062,972.5911506204044
jp5jehho,delayed_mlp,primary,1000000000,0,46,167608320,973.1121826171876,972.5825051700367
jp5jehho,delayed_mlp,primary,1000000000,0,46,168099840,973.4947509765624,972.6044167911305
jp5jehho,delayed_mlp,primary,1000000000,0,46,168837120,973.6656494140624,972.6498484892004
jp5jehho,delayed_mlp,primary,1000000000,0,46,169328640,973.1210327148438,972.6454360064338
jp5jehho,delayed_mlp,primary,1000000000,0,46,169820160,973.6427001953124,972.6571116727941
jp5jehho,delayed_mlp,primary,1000000000,0,46,170557440,973.7730712890624,972.6670568129596
jp5jehho,delayed_mlp,primary,1000000000,0,46,171048960,973.4116821289062,972.6802045036765
jp5jehho,delayed_mlp,primary,1000000000,0,46,171786240,972.8018798828124,972.7230763154871
jp5jehho,delayed_mlp,primary,1000000000,0,46,172277760,973.5293579101562,972.9534194048713
jp5jehho,delayed_mlp,primary,1000000000,0,46,173015040,973.2095336914062,973.0888671875
jp5jehho,delayed_mlp,primary,1000000000,0,46,173506560,973.8505859375,973.1292221966912
jp5jehho,delayed_mlp,primary,1000000000,0,46,174243840,973.7040405273438,973.1554780847886
jp5jehho,delayed_mlp,primary,1000000000,0,46,174735360,973.7508544921876,973.1773538028492
jp5jehho,delayed_mlp,primary,1000000000,0,46,175226880,973.4459838867188,973.2151632869945
jp5jehho,delayed_mlp,primary,1000000000,0,46,175964160,973.57568359375,973.3323723288144
jp5jehho,delayed_mlp,primary,1000000000,0,46,176455680,974.0138549804688,973.3813691980698
jp5jehho,delayed_mlp,primary,1000000000,0,46,177192960,970.283203125,973.3168263154871
jp5jehho,delayed_mlp,primary,1000000000,0,46,177684480,970.0326538085938,973.1356775620404
